cell_id,centroid_lat,centroid_lon,pop_density_norm,working_pop_density,func_mixture_degree,recreational_density,catering_density,commercial_density,public_service_density,open_space_density,business_office_density,floor_area_proxy,trunk_road_density,secondary_road_density,intersection_density,vendor_density
91,-6.894249999999996,107.56124999999997,0.6360211652383965,0.9637246083006268,0.5,0.0,0.16794877895704194,0.0,0.2242438242175754,0.0,0.0,0.8688699056683356,0.23539520952057935,0.23019517626933333,0.28860249407989835,28.8
92,-6.889749999999995,107.56124999999997,0.214700638408006,0.8587459861485006,0.0,0.0,0.0,0.0,0.0,0.5377099345963751,0.0,0.7536358734119823,0.07171134826412078,0.3241553148974283,0.6048829123101417,1.8
93,-6.885249999999996,107.56124999999997,0.214700638408006,0.8750860949840977,0.0,0.0,0.0,0.0,0.2242438242175754,0.0,0.0,0.5715409459117631,0.0,0.5292070108767806,0.6738052990918816,11.5
94,-6.8807499999999955,107.56124999999997,0.214700638408006,0.804715277619304,0.0,0.0,0.0,0.0,0.35541805240316376,0.0,0.0,0.7121235371118231,0.02245670174053472,0.7171949571667772,0.7869708127800799,3.9
95,-6.876249999999994,107.56124999999997,0.214700638408006,0.8647221110851698,0.1518647782801765,0.0,0.16794877895704194,0.3023564218435529,0.35541805240316376,0.48299493849177877,0.3371945170584955,0.8298625960750724,0.25974579341227183,0.3429071962106685,0.6048829123101417,11.6
96,-6.871749999999995,107.56124999999997,0.214700638408006,0.9297441132759003,0.2302963741471386,0.0,0.16794877895704194,0.0,0.4484876484351508,0.4160291953530189,0.0,0.879839012000152,0.1365677446895699,0.5168311182648321,0.7869708127800799,4.0
97,-6.867249999999995,107.56124999999997,0.214700638408006,1.0,0.4315602842833156,0.0,0.0,0.0,0.6727314726527263,0.0,0.0,0.9192181048516536,0.22769253505452391,0.34938064839532373,0.6299206402569856,16.1
98,-6.862749999999996,107.56124999999997,0.214700638408006,0.9110109139018038,0.0,0.0,0.0,0.0,0.2242438242175754,0.0,0.0,0.7825029833632128,0.09113242806203843,0.2084827953882941,0.3641758009398765,12.5
99,-6.858249999999995,107.56124999999997,0.214700638408006,0.855455958501734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6738235423565678,0.0,0.19565444815162347,0.4706903945498366,13.1
100,-6.853749999999995,107.56124999999997,0.214700638408006,0.824004292890789,0.0,0.0,0.0,0.0,0.2242438242175754,0.0,0.0,0.786903745854688,0.0,0.13002513034295948,0.28860249407989835,9.6
101,-6.849249999999993,107.56124999999997,0.214700638408006,0.8734777792814054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5364754174304336,0.0,0.13628344370804948,0.0,7.5
102,-6.99775,107.56574999999997,0.42712946454247425,0.821324769248418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7720756155937513,0.0,0.19229970420586573,0.18208790046993825,16.5
103,-6.99325,107.56574999999997,0.42712946454247425,0.919399867488948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8452083438786969,0.0,0.3599231667426665,0.3641758009398765,17.6
104,-6.988749999999999,107.56574999999997,0.42712946454247425,0.9081752533915306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6422470702728902,0.0,0.36325109705285813,0.4706903945498366,23.1
105,-6.984249999999999,107.56574999999997,0.42712946454247425,0.9556133917277156,0.4591479170272448,0.0,0.0,0.0,0.4484876484351508,0.0,0.0,0.6985698127480506,0.07727515044466968,0.4206716057977547,0.6299206402569856,22.7
106,-6.979749999999999,107.56574999999997,0.42712946454247425,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38575114817744816,0.0,0.22103199141671143,0.0,16.5
107,-6.97525,107.56574999999997,0.45237821360786795,0.8827561181585878,0.0,0.0,0.0,0.0,0.35541805240316376,0.0,0.0,0.8711148385020716,0.1951633005876539,0.3573885029242554,0.6738052990918816,22.1
108,-6.970749999999999,107.56574999999997,0.45237821360786795,0.9257977991605107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8744731255380706,0.0,0.6161898607564487,0.7442775270121629,22.0
109,-6.96625,107.56574999999997,0.45237821360786795,0.9294479550692886,0.0,0.0,0.16794877895704194,0.0,0.0,0.0,0.0,0.9307639969690175,0.17267483722978613,0.9423292776343604,0.7734962022714278,23.2
110,-6.961749999999998,107.56574999999997,0.45237821360786795,0.9453819846579621,0.4591479170272448,0.0,0.2661925166888179,0.0,0.2242438242175754,0.0,0.0,0.8911687325439192,0.09772880410810061,0.7707559204464904,0.5772049881597967,22.4
111,-6.957249999999998,107.56574999999997,0.45237821360786795,0.8626207639454531,0.0,0.0,0.0,0.0,0.2242438242175754,0.0,0.0,0.8902717140319254,0.0,0.4650371774822843,0.6299206402569856,2.8
112,-6.952749999999997,107.56574999999997,0.45237821360786795,0.908023887221854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6944152328225494,0.13257574367141625,0.3148840593816525,0.4706903945498366,21.3
113,-6.948249999999998,107.56574999999997,0.45237821360786795,0.866870855864664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5989758053193992,0.22622500219547953,0.28029435660908547,0.4706903945498366,19.4
114,-6.943749999999998,107.56574999999997,0.45237821360786795,0.9215840422599069,0.0,0.0,0.0,0.15117821092177644,0.0,0.0,0.0,0.7332192010108836,0.3581775162817077,0.35280707847565185,0.5462637014098147,24.2
