cell_id,centroid_lon,centroid_lat,kecamatan,density,pop_density_norm,_poi_raw_count,working_pop_density,func_mixture_degree,recreational_density_raw,recreational_density,catering_density_raw,catering_density,commercial_density_raw,commercial_density,public_service_density_raw,public_service_density,open_space_density_raw,open_space_density,business_office_density_raw,business_office_density,floor_area_raw,floor_area_proxy,trunk_road_density_raw,secondary_road_density_raw,trunk_road_density,secondary_road_density,intersection_count,intersection_density,vendor_density,suitability_score,zone_class,predicted_density,sensitivity_zone,sensitivity_label,hotspot_class
51,107.55674999999998,-6.921249999999997,Jawa Barat,205400.0,0.45237821360786795,1.0,0.9509239087574906,0.2,0.0,0.0,0.0,0.0,1.0,0.15117821092177644,2.0,0.35541805240316376,1.0,0.20801459767650946,1.0,0.21274605355336315,240.0,0.6949420665778558,590.4044245855365,4796.1806164821455,0.22820533439473933,0.4962023705076767,9.0,0.6048829123101417,24.7,0.15079981,Not Suitable,9.403027,1,Negative Sensitivity,Hot Spot (90%)
52,107.55674999999998,-6.916749999999997,Jawa Barat,205400.0,0.45237821360786795,0.0,0.9273873715671618,0.3250112108241771,0.0,0.0,0.0,0.0,1.0,0.15117821092177644,0.0,0.0,5.0,0.5377099345963751,0.0,0.0,183.0,0.6607497554439259,0.0,7588.187037423734,0.0,0.7850572563689227,14.0,0.7113975059201018,5.7,0.08247204,Not Suitable,6.312872,1,Negative Sensitivity,Hot Spot (99%)
53,107.55674999999998,-6.912249999999998,Jawa Barat,205400.0,0.45237821360786795,0.0,0.9800996210837066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.20801459767650946,0.0,0.0,25.0,0.4128116990836018,0.0,2853.996074152644,0.0,0.29526819998135423,5.0,0.4706903945498366,26.7,0.45061687,Moderately Suitable,22.962393,0,Positive Sensitivity,Hot Spot (90%)
54,107.55674999999998,-6.9077499999999965,Jawa Barat,205400.0,0.45237821360786795,1.0,1.0,0.22406015629507225,1.0,0.33333333333333337,0.0,0.0,0.0,0.0,2.0,0.35541805240316376,3.0,0.4160291953530189,0.0,0.0,211.0,0.6786973484456876,0.0,1615.9237851056585,0.0,0.16717994522009474,1.0,0.18208790046993825,12.7,0.08164645,Not Suitable,6.275534,1,Negative Sensitivity,Hot Spot (99%)
55,107.55674999999998,-6.9032499999999954,Jawa Barat,205400.0,0.45237821360786795,0.0,0.955087921059999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.5144716734617367,268.8903579383698,2792.1098051568542,0.1039325104853729,0.28886558176634003,3.0,0.3641758009398765,21.1,0.38543406,Moderately Suitable,20.014471,1,Negative Sensitivity,Hot Spot (99%)
56,107.55674999999998,-6.898749999999996,Jawa Barat,205400.0,0.45237821360786795,2.0,0.94704162554809,0.31546487678572865,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.4484876484351508,0.0,0.0,1.0,0.21274605355336315,57.0,0.5144716734617367,867.5506249336329,2479.206580433701,0.33532892407831527,0.2564932975963986,5.0,0.4706903945498366,22.8,0.45872265,Moderately Suitable,23.32898,0,Positive Sensitivity,Hot Spot (99%)
57,107.55674999999998,-6.894249999999996,Jawa Barat,269260.0,0.6360211652383965,0.0,0.9560303867131091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.4128116990836018,0.0,2186.1664752510765,0.0,0.22617600838803492,5.0,0.4706903945498366,25.5,0.48036614,Moderately Suitable,24.307817,1,Negative Sensitivity,Hot Spot (90%)
58,107.55674999999998,-6.889749999999995,Jawa Barat,122750.0,0.214700638408006,1.0,0.9166361665193004,0.2402410118609203,0.0,0.0,2.0,0.2661925166888179,0.0,0.0,2.0,0.35541805240316376,0.0,0.0,1.0,0.21274605355336315,164.0,0.6469403229497639,37.916069415722724,4071.4484160885036,0.01465546147629789,0.42122316005368515,7.0,0.5462637014098147,10.5,0.23290277,Not Suitable,13.116171,1,Negative Sensitivity,Not Significant
59,107.55674999999998,-6.885249999999996,Jawa Barat,122750.0,0.214700638408006,0.0,0.8493381071059842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.35541805240316376,0.0,0.0,0.0,0.0,138.0,0.6252143067732493,536.654003044155,2491.449468403326,0.20742951969734785,0.257759920044167,3.0,0.3641758009398765,2.9,0.20550586,Not Suitable,11.877133,1,Negative Sensitivity,Not Significant
60,107.55674999999998,-6.8807499999999955,Jawa Barat,122750.0,0.214700638408006,1.0,0.8681187566622613,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.35541805240316376,0.0,0.0,0.0,0.0,269.0,0.7093387363176492,472.9063179140609,4495.156414014273,0.18278952515087055,0.46505906403347247,7.0,0.5462637014098147,19.7,0.30707014,Not Suitable,16.470425,0,Positive Sensitivity,Not Significant
